PRESENT_SN,LCLAS_CL,MLSFC_CL,SCLAS_CL,ATRB_SE,WTNNC_SN,NTFC_SN,DGM_NM,DGM_AR,DGM_LT,SIGNGU_SE,DRAWING_NO,CREATE_DAT,SHAPE_AREA,SHAPE_LEN,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110158","11110",예지동,360
11000UQ181PS201912151820,UQ1900,,,UQ1900,11000AGZ195410145238,11000NTC195410149946,종오(중앙1지구)토지구획정리사업,73947.91176643,1668.64089966,"11000",,2019/12/15,73947.91176639999,1668.64089966000,"11110158","11110",예지동,360
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110158","11110",예지동,360
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110158","11110",예지동,360
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110158","11110",예지동,360
11000UQ181PS202407190013,UQ5140,UQ5140,,UQ5140,11000AGZ202311290013,11000NTC202407080002,1-1구역,5801.24570503,321.10069322,"11000",,2024/07/19,5801.24574716000,321.10062624600,"11110158","11110",예지동,360
11000UQ181PS202407190040,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202311290040,11000NTC202407080002,4구역,32157.01387434,696.17396582,"11000",,2024/07/19,32157.01249090000,696.17391574200,"11110158","11110",예지동,360
11000UQ181PS201912151037,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198807072711,11000NTC198807079886,청진2구역도시환경정비사업,2881.99739462,231.77670502,"11000",,2019/12/15,2881.99739467000,231.77670502400,"11110127","11110",공평동,359
11110UQ181PS202411250001,UQ1200,UQ1230,UQ1232,UQ1232,11110AGZ202405140002,11110NTC202411210002,공평구역 제3지구,4215.52524502,278.39137515,"11110",,2024/11/25,4215.52534595000,278.39137515100,"11110127","11110",공평동,359
11110UQ181PS202411250002,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202405140001,11110NTC202411210002,공평 도시정비형 재개발구역,94957.39042468,1291.23195006,"11110",,2024/11/25,94957.39052859999,1291.23193807000,"11110127","11110",공평동,359
11000UQ181PS201912150933,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198307206043,11000NTC198307205399,청진1구역도시환경정비사업,9106.67761906,382.58799507,"11000",,2019/12/15,9106.67761910000,382.58799506900,"11110127","11110",공평동,359
11000UQ181PS201912150933,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198307206043,11000NTC198307205399,청진1구역도시환경정비사업,9106.67761906,382.58799507,"11000",,2019/12/15,9106.67761910000,382.58799506900,"11110127","11110",공평동,359
11110UQ181PS202003160001,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202001150001,11110NTC202001150003,재개발사업구역,79047.28223562,1346.41812932,"11110",,2020/03/16,79047.28223570000,1346.41812931000,"11110127","11110",공평동,359
11110UQ181PS201910040066,UQ1220,UQ1222,,UQ1222,11000AGZ201910020002,11110NTC201910020001,도시환경정비사업구역,7660.29080310,440.01074981,"11110",,2019/10/04,7660.29080308000,440.01074981400,"11110127","11110",공평동,359
11000UQ181PS201912151346,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ201308069068,11000NTC201304186813,청진구역 제17지구 도시환경정비구역,1921.14387095,184.01183056,"11000",,2019/12/15,1921.14387093000,184.01183056500,"11110127","11110",공평동,359
11110UQ181PS201910040095,UQ1220,UQ1222,,UQ1222,11000AGZ201910020002,11110NTC201910020001,도시환경정비사업구역,7660.29080310,440.01074981,"11110",,2019/10/04,7660.29080308000,440.01074981400,"11110127","11110",공평동,359
11110UQ181PS202505140001,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202112140003,11110NTC202504070001,수송 도시정비형재개발구역,72783.00209855,1349.20382035,"11110",,2025/05/14,72783.00209850000,1349.20382035000,"11110127","11110",공평동,359
11000UQ181PS201912151126,UQ1200,UQ1210,UQ1211,UQ1211,11000AGZ000000001811,,주거환경개선사업,6494.43341311,521.48701289,"11000",,2019/12/15,6494.43341306000,521.48701288600,"11110179","11110",홍파동,358
11000UQ181PS202212230005,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202212210002,11110NTC202212210002,돈의문1재정비촉진구역,152595.23968063,2321.74990442,"11000",,2022/12/23,152595.23968100001,2321.74990442000,"11110179","11110",홍파동,358
11000UQ181PS201912151832,UQ1900,,,UQ1900,11000AGZ196401305268,11000NTC196401301073,행촌(중앙2지구)토지구획정리사업,35303.24717150,853.28054435,"11000",,2019/12/15,35303.24717150000,853.28054434600,"11110179","11110",홍파동,358
11000UQ181PS201912150744,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201709180561,11000NTC201708038227,종로구 교남동·무악동 일대 행촌권,142457.41661967,3210.18547841,"11000",,2019/12/15,142457.41662000000,3210.18547840000,"11110179","11110",홍파동,358
11000UQ181PS201912150744,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201709180561,11000NTC201708038227,종로구 교남동·무악동 일대 행촌권,142457.41661967,3210.18547841,"11000",,2019/12/15,142457.41662000000,3210.18547840000,"11110179","11110",홍파동,358
11000UQ181PS201912151832,UQ1900,,,UQ1900,11000AGZ196401305268,11000NTC196401301073,행촌(중앙2지구)토지구획정리사업,35303.24717150,853.28054435,"11000",,2019/12/15,35303.24717150000,853.28054434600,"11110179","11110",홍파동,358
11000UQ181PS202307180001,UQ5100,UQ5120,,UQ5120,11000AGZ202212210003,11110NTC202306160001,돈의문 재정비촉진지구,168226.98540098,2630.98847153,"11000",,2023/07/18,168226.98540100001,2630.98847153000,"11110179","11110",홍파동,358
11110UQ181PS202412160001,UQ1200,UQ1230,UQ1232,UQ1232,11110AGZ202404080001,11110NTC202412100001,서린구역 제3·4·5지구 도시정비형 재개발사업,2717.56247715,215.39553070,"11110",,2024/12/16,2717.56263630000,215.39555767100,"11110126","11110",종로1가,387
11000UQ181PS201912150907,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ197706303464,11000NTC197706302062,광화문도시환경정비사업,7859.36261147,545.17793604,"11000",,2019/12/15,7859.36261150000,545.17793604800,"11110126","11110",종로1가,387
11000UQ181PS201912150765,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ000000001811,,청진5-1구역도시환경정비사업,3221.03561216,225.69762026,"11000",,2019/12/15,3221.03561215000,225.69762025500,"11110126","11110",종로1가,387
11000UQ181PS201912150355,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ201310159081,11000NTC201305316844,"청진구역 제2,3지구 도시환경정비사업",8943.06168513,697.76639310,"11000",,2019/12/15,8943.06168516000,697.76639310900,"11110126","11110",종로1가,387
11000UQ181PS201912150831,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132216,11000NTC198408136236,서린18구역도시환경정비사업,2238.05026197,191.53037613,"11000",,2019/12/15,2238.05026200000,191.53037613300,"11110126","11110",종로1가,387
